WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="4C1", group="280", value="     1"
WARNING (043256): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043258): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043260): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043262): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043264): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043266): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043268): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043270): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043272): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043274): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043276): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043278): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043280): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043282): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043284): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043286): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043288): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043290): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043292): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043294): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043296): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043298): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043300): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043302): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043304): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043306): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043308): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043310): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043312): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043314): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043316): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043318): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043320): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043322): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043324): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043326): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043328): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043330): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043332): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043334): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043336): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043338): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043340): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043342): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043344): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043346): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043348): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043350): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043352): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043354): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043356): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043358): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043360): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043362): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043364): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043366): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043368): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043370): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043372): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043374): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043376): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043378): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043380): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043382): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043384): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043386): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043388): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043390): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043392): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043394): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043396): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043398): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043400): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043402): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043404): XRECORD object group 311 unknown/not supported - ignored.
